license_no	public_title	public_journal	public_html	public_volume	public_date
101009970	".  Administration of Human Umbilical Cord Blood Cells Produces Interleuken-10 (IL-10) in IL-10 Deficient Mice without Immunosuppression"	"Curr Stem Cell Res Ther"		5	200912
101009970	"Administration of human umbilical cord blood cells delays the onset of prostate cancer and increases the lifespan of the TRAMP mouse"	"Cancer Letters"	www.elsevier.com/locate/canlet	Online	200501
101009970	"Effect of Human Cord Blood Mononuclear Cells on Preclinical Prostate Cancer Mice ""Tramp"""	"American Journal of Clinical Pathology"		112	200401
101009970	"Effect of human umbilical cord blood on glycemia and insulitis in type 1 diabetic mice"	"Biochemical and Biophysical research Communications"		325	200411
101009970	"The effect of human cord blood therapy on the intestinal tract of lethally irradiated mice: Possible use for mass casualties"	"International Journal of Radiation Biology"	informahealthcare.com/toc/rab/0/0	"Early online"	201002
101009970	"The Effects of Human Cord Blood Mononuclear Cells on Mouse Animal Model B6.V-Lepob Type 2 Diabetes"	"American Journal of Clinical Pathology"		122	200401
101009970	"Transplantation of human umbilical cord blood cells improves glycemia and glomerular hypertrophy in type 2 diabetic mice"	"Biochemical and Biophysical research Communications"		321	200406
101010010	"The Sinusitis Help Book"				200801
101011412	"Letter to the editor: Bowen's Disease"	"Journal of Cutaneous Pathology"	www.journalofcutaneouspathology.com	37	201011
101011786	"FULL TIME DOCTORS AN ENDANGERED SPECIES All Physician MD's Are Now Specialists"				200612
101011786	"Poor Medical Care in 2009 E-mailed to Med. Soc. Va.& Deans Offices all Medical Schools in Virginia"			"10 pages"	201001
101012444	"Causes of death in the antiarrhythmics vs. implantable defirillators (AVID) trial"	"Journal of American College of Cardiology"	www.cardiosource.com	34	200506
101013022	"Imaging In Trauma"	"Book (2010 Wiley & Blackwell). Co-author"			201003
101013022	"Late-presenting appendicitis"	"Surg Endosc"		17(5):725-9	200305
101013022	"Postgraduate Education in Emerging Surgical Technologies"	"World J of Surg"		"29,S111-S114"	200501
101013022	"Surgical Pathology of Colorectal in Filipinos Implications for ClinicalPractice "	"J of American Coll of Surg"		(1)	200507
101013022	"Valproic Acid Prevents Hemorrhage-Associated Lethality and Affects the Acetylation Pattern of Cardiac Histones."	Shock		24(4)	200601
101013400	NONE				200701
101013651	AMA	"Journal of the AMA, Virginia Medical Monthly"	"Physicians on Line"	Several	199701
101013651	"Virginia Medical Monthtly"				199801
101013944	"Assembling the Optimal Mentor Team"	"Obstetrical and Gynecological Survey"		"63        "	200804
101013944	"Biography: A Tribute to Dr. Alan Beer"	"American Journal of reproductive Immunology"		57	200701
101013944	"Differential Associations For Menopause and Age in Measures of Vitamin K, Osteocalcin, and Bone Density:"	Menopause		13	200605
101013944	"Differnetial Effects of Aging on Activin A and Its Binding Protein, Follistatin, Acroos the menopausal Transition"	"Fertility and Sterility"		88	200710
101013944	"Geriatric Gynecology: Preoperative Evaluation of the Aging Patient"	"Postgraduate Obstetrics and Gynecology"		25	200507
